--------------------------------------------------
Marvellous Infosystem Process Log
Log file is created at : Wed Jun 18 08:55:58 2025
--------------------------------------------------
{'name': 'GlideXRemoteService.exe', 'pid': 5236, 'username': None, 'vms': 3.66796875} 
{'name': 'ipfsvc.exe', 'pid': 5256, 'username': None, 'vms': 2.80078125} 
{'name': 'GlideXServiceExt.exe', 'pid': 5312, 'username': None, 'vms': 3.23046875} 
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 5348, 'username': None, 'vms': 43.58203125} 
{'name': 'GlideXService.exe', 'pid': 5356, 'username': None, 'vms': 5.71484375} 
{'name': 'taskhostw.exe', 'pid': 5368, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 7.3046875} 
{'name': 'IntelAudioService.exe', 'pid': 5480, 'username': None, 'vms': 39.16796875} 
{'name': 'svchost.exe', 'pid': 5496, 'username': None, 'vms': 4.05859375} 
{'name': 'svchost.exe', 'pid': 5560, 'username': None, 'vms': 3.0078125} 
{'name': 'Code.exe', 'pid': 5576, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 28.1640625} 
{'name': 'jhi_service.exe', 'pid': 5664, 'username': None, 'vms': 1.41796875} 
{'name': 'NgcIso.exe', 'pid': 5672, 'username': None, 'vms': 2.5546875} 
{'name': 'NvBroadcast.Container.exe', 'pid': 5772, 'username': None, 'vms': 3.046875} 
{'name': 'nvcontainer.exe', 'pid': 5784, 'username': None, 'vms': 13.0078125} 
{'name': 'msedgewebview2.exe', 'pid': 5792, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 123.66015625} 
{'name': 'RstMwService.exe', 'pid': 5800, 'username': None, 'vms': 2.56640625} 
{'name': 'RtkAudUService64.exe', 'pid': 5808, 'username': None, 'vms': 5.19140625} 
{'name': 'ipf_uf.exe', 'pid': 5832, 'username': None, 'vms': 2.08984375} 
{'name': 'svchost.exe', 'pid': 5876, 'username': None, 'vms': 1.44140625} 
{'name': 'WMIRegistrationService.exe', 'pid': 5920, 'username': None, 'vms': 3.0546875} 
{'name': 'svchost.exe', 'pid': 5960, 'username': None, 'vms': 5.49609375} 
{'name': 'svchost.exe', 'pid': 5972, 'username': None, 'vms': 2.01953125} 
{'name': 'svchost.exe', 'pid': 6080, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.359375} 
{'name': 'msedgewebview2.exe', 'pid': 6100, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 9.5078125} 
{'name': 'msedge.exe', 'pid': 6340, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 38.4453125} 
{'name': 'svchost.exe', 'pid': 6428, 'username': None, 'vms': 2.578125} 
{'name': 'SearchProtocolHost.exe', 'pid': 6464, 'username': None, 'vms': 2.37890625} 
{'name': 'svchost.exe', 'pid': 6592, 'username': None, 'vms': 1.99609375} 
{'name': 'Intel_PIE_Service.exe', 'pid': 6604, 'username': None, 'vms': 2.5625} 
{'name': 'AsusSoftwareManagerAgent.exe', 'pid': 6652, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 48.609375} 
{'name': 'svchost.exe', 'pid': 6660, 'username': None, 'vms': 7.5078125} 
{'name': 'dllhost.exe', 'pid': 6924, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 1.625} 
{'name': 'svchost.exe', 'pid': 7012, 'username': None, 'vms': 2.0078125} 
{'name': 'msedgewebview2.exe', 'pid': 7052, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 80.2578125} 
{'name': 'svchost.exe', 'pid': 7064, 'username': None, 'vms': 6.4765625} 
{'name': 'svchost.exe', 'pid': 7332, 'username': None, 'vms': 7.1484375} 
{'name': 'unsecapp.exe', 'pid': 7368, 'username': None, 'vms': 2.70703125} 
{'name': 'svchost.exe', 'pid': 7436, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 5.3203125} 
{'name': 'WmiPrvSE.exe', 'pid': 7508, 'username': None, 'vms': 37.8125} 
{'name': 'sihost.exe', 'pid': 7800, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 7.73828125} 
{'name': 'msedgewebview2.exe', 'pid': 7848, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 12.1328125} 
{'name': 'msedge.exe', 'pid': 7864, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 78.546875} 
{'name': 'RtkAudUService64.exe', 'pid': 7876, 'username': None, 'vms': 6.39453125} 
{'name': 'svchost.exe', 'pid': 8164, 'username': None, 'vms': 2.5078125} 
{'name': 'svchost.exe', 'pid': 8236, 'username': None, 'vms': 3.7109375} 
{'name': 'csrss.exe', 'pid': 8240, 'username': None, 'vms': 2.9609375} 
{'name': 'RuntimeBroker.exe', 'pid': 8416, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 6.01953125} 
{'name': 'gamingservicesnet.exe', 'pid': 8728, 'username': None, 'vms': 4.95703125} 
{'name': 'gamingservices.exe', 'pid': 8856, 'username': None, 'vms': 12.56640625} 
{'name': 'svchost.exe', 'pid': 8968, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 9.99609375} 
{'name': 'svchost.exe', 'pid': 9024, 'username': None, 'vms': 1.1015625} 
{'name': 'svchost.exe', 'pid': 9032, 'username': None, 'vms': 2.734375} 
{'name': 'svchost.exe', 'pid': 9312, 'username': None, 'vms': 2.97265625} 
{'name': 'svchost.exe', 'pid': 9416, 'username': None, 'vms': 7.859375} 
{'name': 'TrustedInstaller.exe', 'pid': 9508, 'username': None, 'vms': 1.76953125} 
{'name': 'msedge.exe', 'pid': 9512, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 8.9375} 
{'name': 'nvcontainer.exe', 'pid': 9640, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 15.00390625} 
{'name': 'svchost.exe', 'pid': 9764, 'username': None, 'vms': 9.04296875} 
{'name': 'fontdrvhost.exe', 'pid': 9920, 'username': None, 'vms': 2.09375} 
{'name': 'svchost.exe', 'pid': 10028, 'username': None, 'vms': 3.08203125} 
{'name': 'MoUsoCoreWorker.exe', 'pid': 10032, 'username': None, 'vms': 4.97265625} 
{'name': 'Code.exe', 'pid': 10152, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 13.81640625} 
{'name': 'RuntimeBroker.exe', 'pid': 10184, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.828125} 
{'name': 'AsusSystemAnalysis.exe', 'pid': 10192, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.16015625} 
{'name': 'nvcontainer.exe', 'pid': 10616, 'username': None, 'vms': 27.5703125} 
{'name': 'Code.exe', 'pid': 10636, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 290.8359375} 
{'name': 'RuntimeBroker.exe', 'pid': 10668, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 5.78515625} 
{'name': 'svchost.exe', 'pid': 10752, 'username': None, 'vms': 1.4296875} 
{'name': 'SecurityHealthSystray.exe', 'pid': 10772, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.05859375} 
{'name': 'WindowsTerminal.exe', 'pid': 10792, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 82.1953125} 
{'name': 'OneDrive.exe', 'pid': 10816, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 97.58984375} 
{'name': 'msedge.exe', 'pid': 10904, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 117.6953125} 
{'name': 'msedgewebview2.exe', 'pid': 10920, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 108.76171875} 
{'name': 'SearchHost.exe', 'pid': 11028, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 80.1015625} 
{'name': 'svchost.exe', 'pid': 11096, 'username': None, 'vms': 3.421875} 
{'name': 'TextInputHost.exe', 'pid': 11256, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 56.4765625} 
{'name': 'SecurityHealthService.exe', 'pid': 11320, 'username': None, 'vms': 8.5078125} 
{'name': 'msedge.exe', 'pid': 11492, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 105.94921875} 
{'name': 'svchost.exe', 'pid': 11532, 'username': None, 'vms': 2.828125} 
{'name': 'FileSyncHelper.exe', 'pid': 11592, 'username': None, 'vms': 7.8828125} 
{'name': 'msedgewebview2.exe', 'pid': 11732, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 9.04296875} 
{'name': 'svchost.exe', 'pid': 11792, 'username': None, 'vms': 11.23046875} 
{'name': 'svchost.exe', 'pid': 12112, 'username': None, 'vms': 12.32421875} 
{'name': 'RtkAudUService64.exe', 'pid': 12316, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 6.46875} 
{'name': 'DAX3API.exe', 'pid': 12732, 'username': None, 'vms': 2.84765625} 
{'name': 'SnippingTool.exe', 'pid': 12760, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 62.57421875} 
{'name': 'svchost.exe', 'pid': 13044, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.07421875} 
{'name': 'SearchIndexer.exe', 'pid': 13064, 'username': None, 'vms': 31.73046875} 
{'name': 'RuntimeBroker.exe', 'pid': 13072, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 7.8828125} 
{'name': 'svchost.exe', 'pid': 13172, 'username': None, 'vms': 31.41015625} 
{'name': 'dllhost.exe', 'pid': 13212, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.37890625} 
{'name': 'msedgewebview2.exe', 'pid': 13268, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 37.23046875} 
{'name': 'dwm.exe', 'pid': 13272, 'username': None, 'vms': 227.71484375} 
{'name': 'conhost.exe', 'pid': 13280, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 1.4296875} 
{'name': 'AsusDialAgent.exe', 'pid': 13412, 'username': None, 'vms': 6.69140625} 
{'name': 'msedge.exe', 'pid': 13436, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 22.3515625} 
{'name': 'svchost.exe', 'pid': 13468, 'username': None, 'vms': 2.5390625} 
{'name': 'svchost.exe', 'pid': 13664, 'username': None, 'vms': 26.17578125} 
{'name': 'explorer.exe', 'pid': 13696, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 320.69140625} 
{'name': 'OpenConsole.exe', 'pid': 13928, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 3.30859375} 
{'name': 'msedge.exe', 'pid': 13968, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 8.85546875} 
{'name': 'msedgewebview2.exe', 'pid': 14364, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 108.76171875} 
{'name': 'svchost.exe', 'pid': 14524, 'username': None, 'vms': 3.89453125} 
{'name': 'RuntimeBroker.exe', 'pid': 14536, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 6.10546875} 
{'name': 'Code.exe', 'pid': 14620, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 97.71484375} 
{'name': 'msedge.exe', 'pid': 14788, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.28125} 
{'name': 'Code.exe', 'pid': 15300, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 438.87109375} 
{'name': 'ipf_helper.exe', 'pid': 15388, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 1.703125} 
{'name': 'cmd.exe', 'pid': 15408, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.18359375} 
{'name': 'msedgewebview2.exe', 'pid': 15444, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.296875} 
{'name': 'svchost.exe', 'pid': 15568, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 7.6484375} 
{'name': 'NvBroadcast.Container.exe', 'pid': 15592, 'username': None, 'vms': 38.15234375} 
{'name': 'RuntimeBroker.exe', 'pid': 15600, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 13.6640625} 
{'name': 'msedge.exe', 'pid': 15968, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 14.91796875} 
{'name': 'ctfmon.exe', 'pid': 15996, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 7.6875} 
